category,category_description
1,ART_AND_DESIGN
2,AUTO_AND_VEHICLES
3,BEAUTY
4,BOOKS_AND_REFERENCE
5,BUSINESS
6,COMICS
7,COMMUNICATION
8,DATING
9,EDUCATION
10,ENTERTAINMENT
11,EVENTS
12,FINANCE
13,FOOD_AND_DRINK
14,HEALTH_AND_FITNESS
15,HOUSE_AND_HOME
16,LIBRARIES_AND_DEMO
17,LIFESTYLE
18,MAPS_AND_NAVIGATION
19,MEDICAL
20,MUSIC_AND_AUDIO
21,NEWS_AND_MAGAZINES
22,PARENTING
23,PERSONALIZATION
24,PHOTOGRAPHY
25,PRODUCTIVITY
26,SHOPPING
27,SOCIAL
28,SPORTS
29,TOOLS
30,TRAVEL_AND_LOCAL
31,VIDEO_PLAYERS
32,WEATHER
33,GAME_ACTION
34,GAME_ADVENTURE
35,GAME_ARCADE
36,GAME_BOARD
37,GAME_CARD
38,GAME_CASINO
39,GAME_CASUAL
40,GAME_EDUCATIONAL
41,GAME_MUSIC
42,GAME_PUZZLE
43,GAME_RACING
44,GAME_ROLE_PLAYING
45,GAME_SIMULATION
46,GAME_SPORTS
47,GAME_STRATEGY
48,GAME_TRIVIA
49,GAME_WORD
50,N/A
