permission_id,permission_category,permission_description,permission (as in AndroidManifest.xml),,Number of apps requested,Privilegged app only?,details,Decision,Investigation result
1,Device & app history,retrieve running apps,android.permission.GET_TASKS,,8535,,Allows the app to retrieve information about currently and recently running tasks. This may allow the app to discover information about which applications are used on the device.,Involve sharing through social media; phone cleaner; security,
2,Wi-Fi connection information,view Wi-Fi connections,android.permission.ACCESS_WIFI_STATE,,101727,,"Allows the app to view information about Wi-Fi networking, such as whether Wi-Fi is enabled and name of connected Wi-Fi devices.",Apps perform real-time / online activities,
3,Photos/Media/Files,read the contents of your USB storage,android.permission.READ_EXTERNAL_STORAGE,,135861,,Allows the app to test a permission for the SD card that will be available on future devices.,"All ok with reasonable description - *** the description should be about the app, not the company itself","On devices that run Android 10 or higher, you don't need storage-related permissions to access and modify media files that your app owns; but needed for devices that run Android 9 (API level 28) or lower (ref:https://developer.android.com/training/data-storage/shared/media#storage-permission). Allow if an app needs to read / write anything then (for backward-compatibility).
Historically, apps requested READ_EXTERNAL_STORAGE to ask users to grant access to Files & Media. Then, they implemented their own media picking experience, adding heavy development & maintenance costs to the developer team.In Android 13, we introduced a new visual media picking tool: the Android photo picker. This tool provides a way for users to select media files, without needing to grant access to their entire media library.
(ref:https://medium.com/androiddevelopers/permissionless-is-the-future-of-storage-on-android-3fbceeb3d70a)"
4,Photos/Media/Files,modify or delete the contents of your USB storage,android.permission.WRITE_EXTERNAL_STORAGE,,127762,,Allows the app to write to the SD card.,"All ok with reasonable description - *** the description should be about the app, not the company itself","On devices that run Android 10 or higher, you don't need storage-related permissions to access and modify media files that your app owns; but needed for devices that run Android 9 (API level 28) or lower (ref:https://developer.android.com/training/data-storage/shared/media#storage-permission). Allow if an app needs to read / write anything then (for backward-compatibility)."
5,Storage,read the contents of your USB storage,android.permission.READ_EXTERNAL_STORAGE,,135861,,Allows the app to test a permission for the SD card that will be available on future devices.,"All ok with reasonable description - *** the description should be about the app, not the company itself","On devices that run Android 10 or higher, you don't need storage-related permissions to access and modify media files that your app owns; but needed for devices that run Android 9 (API level 28) or lower (ref:https://developer.android.com/training/data-storage/shared/media#storage-permission). Allow if an app needs to read / write anything then (for backward-compatibility)."
6,Storage,modify or delete the contents of your USB storage,android.permission.WRITE_EXTERNAL_STORAGE,,127762,,Allows the app to write to the SD card.,"All ok with reasonable description - *** the description should be about the app, not the company itself","On devices that run Android 10 or higher, you don't need storage-related permissions to access and modify media files that your app owns; but needed for devices that run Android 9 (API level 28) or lower (ref:https://developer.android.com/training/data-storage/shared/media#storage-permission). Allow if an app needs to read / write anything then (for backward-compatibility)."
7,Other,receive data from Internet,com.google.android.c2dm.permission.RECEIVE,,120229,,Allows apps to accept cloud to device messages sent by the app's service. Using this service will incur data usage. Malicious apps could cause excess data usage.,"Apps need online activity, remote control (toys, CCTV, UAV, camera, etc.)",
8,Other,full network access,android.permission.INTERNET,,207864,,"Allows the app to create network sockets and use custom network protocols. The browser and other applications provide means to send data to the internet, so this permission is not required to send data to the internet.","Apps need online activity, remote control (toys, CCTV, UAV, camera, etc.)",
9,Other,prevent device from sleeping,android.permission.WAKE_LOCK,,172854,,Allows the app to prevent the phone from going to sleep.,"All ok with reasonable description - *** the description should be about the app, not the company itself",
10,Other,disable your screen lock,android.permission.DISABLE_KEYGUARD,,3843,,"Allows the app to disable the keylock and any associated password security. For example, the phone disables the keylock when receiving an incoming phone call, then re-enables the keylock when the call is finished.","Apps need ""urgent"" response from user that cannot wait for unlock; others need explanation",
11,Other,control vibration,android.permission.VIBRATE,,97442,,Allows the app to control the vibrator.,"Notification, game; others need explanation",
12,Other,view network connections,android.permission.ACCESS_NETWORK_STATE,,198058,,Allows the app to view information about network connections such as which networks exist and are connected.,Apps need network connections,
13,Other,run at startup,android.permission.RECEIVE_BOOT_COMPLETED,,116194,,Allows the app to have itself started as soon as the system has finished booting. This can make it take longer to start the phone and allow the app to slow down the overall phone by always running.,"OS service, news media, social media; others need explanation",
14,Microphone,record audio,android.permission.RECORD_AUDIO,,35595,,Allows the app to record audio with the microphone. This permission allows the app to record audio at any time without your confirmation.,"Need to specify clearly - audio, voice",
15,Location,approximate location (network-based),android.permission.ACCESS_COARSE_LOCATION,,57838,,Allows the app to get your approximate location. This location is derived by location services using network location sources such as cell towers and Wi-Fi. These location services must be turned on and available to your device for the app to use them. Apps may use this to determine approximately where you are.,"Need to specify clearly - location, nearby",
16,Identity,add or remove accounts,android.permission.MANAGE_ACCOUNTS,,3259,,"Allows the app to perform operations like adding and removing accounts, and deleting their password.","All ok with reasonable description  - *** the description should be about the app, not the company itself","(ref:https://android.stackexchange.com/questions/44293/what-does-permission-manage-accounts-mean)
A suggested way to manage login/credentials (https://developer.android.com/training/id-auth/identify)
Account Manager This class provides access to a centralized registry of the user's online accounts. The user enters credentials (username and password) once per account, granting applications access to online resources with ""one-click"" approval.Different online services have different ways of handling accounts and authentication, so the account manager uses pluggable authenticator modules for different account types. Authenticators (which may be written by third parties) handle the actual details of validating account credentials and storing account information. For example, Google, Facebook, and Microsoft Exchange each have their own authenticator.
(ref:https://developer.android.com/reference/android/accounts/AccountManager)
addAccount
Asks the user to add an account of a specified type. The authenticator for this account type processes this request with the appropriate user interface. If the user does elect to create a new account, the account name is returned.
NOTE: If targeting your app to work on API level 22 and before, MANAGE_ACCOUNTS permission is needed for those platforms. See docs for this function in API level 22.
Requires android.Manifest.permission.MANAGE_ACCOUNTS
addAccountExplicitly
Adds an account directly to the AccountManager. Normally used by sign-up wizards associated with authenticators, not directly by applications.
removeAccount
Removes an account from the AccountManager. Does nothing if the account does not exist. Does not delete the account from the server. The authenticator may have its own policies preventing account deletion, in which case the account will not be deleted.
NOTE: If targeting your app to work on API level 22 and before, MANAGE_ACCOUNTS permission is needed for those platforms. See docs for this function in API level 22.
Requires android.Manifest.permission.MANAGE_ACCOUNTS"
17,Camera,take pictures and videos,android.permission.CAMERA,,67875,,Allows the app to take pictures and videos with the camera. This permission allows the app to use the camera at any time without your confirmation.,"Need to specify clearly - photo, picture, video, live",
18,Other,close other apps,android.permission.RESTART_PACKAGES,android.permission.KILL_BACKGROUND_PROCESSES,2838,,Allows the app to end background processes of other apps. This may cause other apps to stop running.,Cleaner; anti-virus-like; others need explanation,
19,Other,pair with Bluetooth devices,android.permission.BLUETOOTH,,29571,,"Allows the app to view the configuration of the Bluetooth on the phone, and to make and accept connections with paired devices.","Need to specify bluetooth, remote control",
20,Other,change network connectivity,android.permission.CHANGE_NETWORK_STATE,,12018,,Allows the app to change the state of network connectivity.,"Apps with (high) throughput / online activity - game, streaming, social media; others need explanation","change the state of network connectivity in an Android device, A VPN app might need to be able to change the network type in order to connect to a VPN server. A network management app may provide a feature to turn off data or Wi-Fi during certain times of the day to save battery power or data usage."
21,Other,use accounts on the device,android.permission.USE_CREDENTIALS,,5801,,Allows the app to request authentication tokens.,"All ok with reasonable description (similar to 16)  - *** the description should be about the app, not the company itself","(ref:https://android.stackexchange.com/questions/44293/what-does-permission-manage-accounts-mean)
A suggested way to manage login/credentials (https://developer.android.com/training/id-auth/identify)
Allows an application to request authtokens from the AccountManager
(ref:https://learn.microsoft.com/en-us/dotnet/api/android.manifest.permission.usecredentials?view=xamarin-android-sdk-13)"
22,Other,connect and disconnect from Wi-Fi,android.permission.CHANGE_WIFI_STATE,,13672,,Allows the app to connect to and disconnect from Wi-Fi access points and to make changes to device configuration for Wi-Fi networks.,"Apps need online activity, remote control (toys, CCTV, UAV, camera, etc.)",
23,Other,change your audio settings,android.permission.MODIFY_AUDIO_SETTINGS,,25244,,Allows the app to modify global audio settings such as volume and which speaker is used for output.,"Music, audio, games with sounds expected; others need explanation",
24,Other,access Bluetooth settings,android.permission.BLUETOOTH_ADMIN,,14764,,"Allows the app to configure the local Bluetooth phone, and to discover and pair with remote devices.","Need to specify bluetooth, remote control",
25,Other,manage document storage,android.permission.MANAGE_DOCUMENTS,,1371,Yes,Allows the app to manage document storage.,Need explanation,"Allows an application to manage access to documents, usually as part of a document picker.
This permission should only be requested by the platform document management app. This permission cannot be granted to third-party apps.
(ref:https://developer.android.com/reference/android/Manifest.permission#MANAGE_DOCUMENTS)"
26,Other,read Google service configuration,com.google.android.providers.gsf.permission.READ_GSERVICES,,17798,,Allows this app to read Google service configuration data.,Need explanation - what Google service - if not a Google app,"(ref:https://android.stackexchange.com/questions/98330/what-is-the-android-permission-write-gservices-doing) - to figure out what Google Services are available on the device
Need to explain what Google services are needed if it is not an Google app
 This app needs this permission to access the Google Maps API. The map is displayed to the user so he/she can reach the patient’s location easily.
(ref:https://olwel.com/policy/patients-app.html)"
27,Other,Google Play license check,com.android.vending.CHECK_LICENSE,,15424,,Market license check,"All but too short description  - *** the description should be about the app, not the company itself","Reference:https://blog.csdn.net/flowingflying/article/details/46772397
user's Google account, IMIS and other information in the device can be obtained, and then sent to Google's cloud server for verification, and returned to the user whether Allowed, e.g. non-purchasing users cannot use the paid version
Should only be needed for paid apps
After you've set up a publisher account and development environment (see Setting Up for Licensing), you are ready to add license verification to your app with the License Verification Library (LVL).
Adding code to check the license in your application's main Activity.
To use the Google Play application for sending a license check to the server, your application must request the proper permission, com.android.vending.CHECK_LICENSE
(ref:https://developer.android.com/google/play/licensing/client-side-verification)"
28,Phone,read phone status and identity,android.permission.READ_PHONE_STATE,,41888,,"Allows the app to access the phone features of the device. This permission allows the app to determine the phone number and device IDs, whether a call is active, and the remote number connected by a call.",explanation - authentication tied with a phone / number,"Check device ID for sending push notifications
*****
Here are some common scenarios where an app may need the READ_PHONE_STATE permission:

Telephony-related apps: Apps that provide telephony-related features like call management, call recording, or caller ID functionality may request this permission to access the necessary telephony state information.

Communication apps: Some messaging or calling apps may require the READ_PHONE_STATE permission to determine the device's telephony state and adjust their behavior accordingly. For example, an app may need to know if a call is ongoing to properly handle incoming messages or notifications.

Device management apps: Certain device management or security apps may request this permission to access the phone's IMEI or IMSI for device identification or tracking purposes. These apps may also need telephony state information to enforce policies related to calls or cellular connectivity.

Network-related apps: Apps that utilize cellular network connectivity, such as signal strength measurement apps or apps that provide network-related statistics, may request this permission to access telephony state information."
29,Device ID & call information,read phone status and identity,android.permission.READ_PHONE_STATE,,41888,,"Allows the app to access the phone features of the device. This permission allows the app to determine the phone number and device IDs, whether a call is active, and the remote number connected by a call.",explanation - authentication tied with a phone / number,Check device ID for sending push notifications
